"","happy","hapmar","health","finalter","satfin","income16","new_income_range"
"46","Pretty happy","VERY HAPPY","Good","Stayed same","More or less satisfied","UNDER $1 000","0 to 9 999"
"47","Pretty happy","VERY HAPPY","Excellent","Stayed same","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"48","Pretty happy","PRETTY HAPPY","Fair","Stayed same","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"49","Pretty happy","VERY HAPPY","Good","Stayed same","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"50","Pretty happy","PRETTY HAPPY","Good","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"51","Very happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"52","Pretty happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"53","Pretty happy","PRETTY HAPPY","Excellent","Stayed same","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"54","Pretty happy","VERY HAPPY","Good","Stayed same","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"55","Not too happy","PRETTY HAPPY","Poor","Better","Not satisfied at all","$110000 TO $129999","90 000 to 170 000"
"56","Very happy","VERY HAPPY","Good","Stayed same","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"57","Pretty happy","VERY HAPPY","Good","Better","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"58","Very happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"59","Pretty happy","PRETTY HAPPY","Excellent","Better","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"60","Not too happy","PRETTY HAPPY","Good","Better","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"61","Not too happy","VERY HAPPY","Good","Worse","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"62","Pretty happy","PRETTY HAPPY","Good","Stayed same","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"63","Pretty happy","VERY HAPPY","Poor","Stayed same","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"64","Pretty happy","PRETTY HAPPY","Poor","Better","More or less satisfied","$6 000 TO 6 999","0 to 9 999"
"65","Pretty happy","PRETTY HAPPY","Fair","Stayed same","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"66","Very happy","VERY HAPPY","Excellent","Worse","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"67","Very happy","VERY HAPPY","Fair","Stayed same","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"68","Very happy","VERY HAPPY","Good","Stayed same","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"69","Pretty happy","PRETTY HAPPY","Fair","Stayed same","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"70","Pretty happy","PRETTY HAPPY","Good","Worse","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"71","Pretty happy","VERY HAPPY","Excellent","Worse","Not satisfied at all","$130000 TO $149999","90 000 to 170 000"
"72","Not too happy","NOT TOO HAPPY","Fair","Stayed same","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
