"","satfin","income16","new_income_range"
"1867","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"1868","More or less satisfied","$6 000 TO 6 999","0 to 9 999"
"1869","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1870","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"1871","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1872","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"1873","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"1874","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1875","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"1876","Not satisfied at all","$170000 OR OVER","90 000 to 170 000"
"1877","More or less satisfied","$17500 TO 19999","10 000 to 19 999"
"1878","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"1879","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"1880","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"1881","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"1882","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"1883","Not satisfied at all","$5 000 TO 5 999","0 to 9 999"
"1884","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1885","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"1886","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"1887","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1888","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1889","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"1890","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1891","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"1892","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"1893","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"1894","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"1895","Not satisfied at all","$17500 TO 19999","10 000 to 19 999"
"1896","Not satisfied at all","$8 000 TO 9 999","0 to 9 999"
"1897","More or less satisfied","$4 000 TO 4 999","0 to 9 999"
"1898","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"1899","Not satisfied at all","UNDER $1 000","0 to 9 999"
"1900","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"1901","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1902","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"1903","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"1904","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"1905","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1906","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"1907","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"1908","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"1909","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"1910","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"1911","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"1912","Not satisfied at all","UNDER $1 000","0 to 9 999"
"1913","More or less satisfied","$10000 TO 12499","10 000 to 19 999"
"1914","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"1915","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"1916","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1917","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"1918","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"1919","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1920","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"1921","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"1922","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"1923","Pretty well satisfied","$20000 TO 22499","20 000 to 39 999"
"1924","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1925","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1926","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1927","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1928","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"1929","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"1930","Not satisfied at all","$170000 OR OVER","90 000 to 170 000"
"1931","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"1932","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"1933","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1934","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"1935","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"1936","More or less satisfied","$22500 TO 24999","20 000 to 39 999"
"1937","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"1938","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"1939","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"1940","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"1941","More or less satisfied","$10000 TO 12499","10 000 to 19 999"
"1942","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"1943","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1944","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"1945","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"1946","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1947","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1948","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1949","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1950","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"1951","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1952","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"1953","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"1954","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1955","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"1956","More or less satisfied","$4 000 TO 4 999","0 to 9 999"
"1957","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"1958","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"1959","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"1960","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"1961","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"1962","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1963","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1964","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"1965","Pretty well satisfied","$30000 TO 34999","20 000 to 39 999"
"1966","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"1967","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"1968","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"1969","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1970","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"1971","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"1972","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"1973","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"1974","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"1975","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"1976","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"1977","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"1978","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1979","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1980","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"1981","More or less satisfied","$1 000 TO 2 999","0 to 9 999"
"1982","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"1983","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1984","More or less satisfied","$6 000 TO 6 999","0 to 9 999"
"1985","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"1986","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"1987","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"1988","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"1989","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"1990","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"1991","Pretty well satisfied","$30000 TO 34999","20 000 to 39 999"
"1992","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"1993","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"1994","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"1995","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1996","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"1997","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1998","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"1999","Pretty well satisfied","$25000 TO 29999","20 000 to 39 999"
"2000","More or less satisfied","$10000 TO 12499","10 000 to 19 999"
"2001","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"2002","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2003","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"2004","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2005","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2006","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"2007","Pretty well satisfied","$30000 TO 34999","20 000 to 39 999"
"2008","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2009","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"2010","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2011","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"2012","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"2013","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2014","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"2015","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2016","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2017","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2018","More or less satisfied","$1 000 TO 2 999","0 to 9 999"
"2019","More or less satisfied","$1 000 TO 2 999","0 to 9 999"
"2020","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2021","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2022","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"2023","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2024","Pretty well satisfied","$20000 TO 22499","20 000 to 39 999"
"2025","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"2026","Not satisfied at all","$17500 TO 19999","10 000 to 19 999"
"2027","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"2028","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"2029","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"2030","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"2031","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"2032","More or less satisfied","$10000 TO 12499","10 000 to 19 999"
"2033","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2034","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2035","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"2036","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"2037","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2038","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"2039","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"2040","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"2041","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"2042","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"2043","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"2044","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2045","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"2046","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2047","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2048","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"2049","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"2050","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"2051","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2052","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"2053","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2054","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"2055","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2056","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"2057","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2058","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"2059","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"2060","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2061","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2062","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"2063","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2064","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2065","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2066","More or less satisfied","$1 000 TO 2 999","0 to 9 999"
"2067","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"2068","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"2069","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2070","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2071","More or less satisfied","$10000 TO 12499","10 000 to 19 999"
"2072","Not satisfied at all","$17500 TO 19999","10 000 to 19 999"
"2073","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"2074","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"2075","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2076","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2077","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"2078","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"2079","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"2080","Not satisfied at all","$110000 TO $129999","90 000 to 170 000"
"2081","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2082","Not satisfied at all","$8 000 TO 9 999","0 to 9 999"
"2083","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2084","Pretty well satisfied","$25000 TO 29999","20 000 to 39 999"
"2085","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"2086","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"2087","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2088","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2089","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"2090","Not satisfied at all","$17500 TO 19999","10 000 to 19 999"
"2091","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"2092","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"2093","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"2094","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2095","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"2096","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"2097","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"2098","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2099","Pretty well satisfied","$30000 TO 34999","20 000 to 39 999"
"2100","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"2101","Not satisfied at all","$130000 TO $149999","90 000 to 170 000"
"2102","More or less satisfied","$7 000 TO 7 999","0 to 9 999"
"2103","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"2104","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"2105","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"2106","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"2107","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"2108","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"2109","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2110","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"2111","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2112","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2113","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2114","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"2115","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"2116","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"2117","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2118","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"2119","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"2120","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2121","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2122","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"2123","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"2124","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"2125","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"2126","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"2127","More or less satisfied","$8 000 TO 9 999","0 to 9 999"
"2128","More or less satisfied","$8 000 TO 9 999","0 to 9 999"
"2129","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2130","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2131","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2132","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2133","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"2134","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2135","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"2136","More or less satisfied","$17500 TO 19999","10 000 to 19 999"
"2137","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2138","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2139","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"2140","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"2141","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2142","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2143","Not satisfied at all","$1 000 TO 2 999","0 to 9 999"
"2144","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"2145","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"2146","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"2147","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2148","Not satisfied at all","$4 000 TO 4 999","0 to 9 999"
"2149","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"2150","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"2151","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"2152","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"2153","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2154","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"2155","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2156","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"2157","More or less satisfied","UNDER $1 000","0 to 9 999"
"2158","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2159","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2160","Not satisfied at all","UNDER $1 000","0 to 9 999"
"2161","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2162","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2163","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2164","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"2165","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2166","More or less satisfied","$1 000 TO 2 999","0 to 9 999"
"2167","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"2168","More or less satisfied","$17500 TO 19999","10 000 to 19 999"
"2169","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2170","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2171","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"2172","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"2173","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2174","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"2175","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"2176","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2177","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"2178","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2179","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"2180","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"2181","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"2182","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2183","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"2184","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"2185","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"2186","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"2187","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"2188","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2189","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2190","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"2191","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"2192","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2193","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"2194","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"2195","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2196","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"2197","Pretty well satisfied","$3 000 TO 3 999","0 to 9 999"
"2198","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"2199","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"2200","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"2201","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"2202","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"2203","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"2204","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"2205","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2206","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"2207","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"2208","More or less satisfied","$22500 TO 24999","20 000 to 39 999"
"2209","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"2210","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"2211","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"2212","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"2213","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"2214","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"2215","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2216","Not satisfied at all","$8 000 TO 9 999","0 to 9 999"
"2217","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2218","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"2219","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2220","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"2221","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2222","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2223","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2224","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"2225","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"2226","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2227","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2228","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"2229","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2230","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"2231","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"2232","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2233","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2234","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2235","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2236","Not satisfied at all","$8 000 TO 9 999","0 to 9 999"
"2237","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2238","Pretty well satisfied","$25000 TO 29999","20 000 to 39 999"
"2239","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"2240","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"2241","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"2242","Pretty well satisfied","$30000 TO 34999","20 000 to 39 999"
"2243","Pretty well satisfied","$30000 TO 34999","20 000 to 39 999"
"2244","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2245","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2246","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"2247","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"2248","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2249","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"2250","Not satisfied at all","$3 000 TO 3 999","0 to 9 999"
"2251","Pretty well satisfied","$30000 TO 34999","20 000 to 39 999"
"2252","More or less satisfied","$8 000 TO 9 999","0 to 9 999"
"2253","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"2254","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2255","More or less satisfied","$10000 TO 12499","10 000 to 19 999"
"2256","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2257","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2258","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2259","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"2260","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"2261","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"2262","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"2263","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"2264","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"2265","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"2266","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2267","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2268","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2269","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2270","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2271","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"2272","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"2273","Pretty well satisfied","$5 000 TO 5 999","0 to 9 999"
"2274","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2275","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"2276","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"2277","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2278","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"2279","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
